암호화요양기호,요양기관명,유형코드,유형코드명,일반식 가산여부,산정인원수,치료식 등급
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjEwMDIjODEjJDEjJDYjJDgz,의성군공립요양병원,1,영양사,Y,2,
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjEwMDIjODEjJDEjJDYjJDgz,의성군공립요양병원,2,조리사,Y,2,
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,사랑요양병원,1,영양사,N,1,N
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,사랑요양병원,2,조리사,Y,2,N
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQyNjE4MzIjODEjJDEjJDYjJDgz,시온요양병원,1,영양사,Y,2,
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQyNjE4MzIjODEjJDEjJDYjJDgz,시온요양병원,2,조리사,Y,3,2
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ2MiQzNjE4MzIjODEjJDEjJDIjJDgz,이상태산부인과의원,1,영양사,N,0,
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ2MiQzNjE4MzIjODEjJDEjJDIjJDgz,이상태산부인과의원,2,조리사,N,0,
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ4MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,고석주정형외과의원,1,영양사,N,0,
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ4MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,고석주정형외과의원,2,조리사,N,0,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz,행복드림의원,1,영양사,N,0,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz,행복드림의원,2,조리사,N,0,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQzNjE0ODEjODEjJDEjJDYjJDgz,시온여성병원,1,영양사,N,1,N
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQzNjE0ODEjODEjJDEjJDYjJDgz,시온여성병원,2,조리사,N,0,N
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,고신경외과의원,1,영양사,N,0,N
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,고신경외과의원,2,조리사,Y,1,N
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzExIyQxIyQ3IyQwMyQyNjE0ODEjODEjJDEjJDYjJDgz,미담한방병원,1,영양사,N,0,
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzExIyQxIyQ3IyQwMyQyNjE0ODEjODEjJDEjJDYjJDgz,미담한방병원,2,조리사,Y,2,
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,은병원,1,영양사,N,1,N
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,은병원,2,조리사,Y,5,1
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz,든든한덕모신경외과의원,1,영양사,N,0,N
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz,든든한덕모신경외과의원,2,조리사,N,0,N
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,미즈피아병원,1,영양사,Y,2,
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,미즈피아병원,2,조리사,Y,2,
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxMTkxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNjEjJDEjJDgjJDgz,일이삼한방병원,1,영양사,Y,2,N
JDQ4MTYyMiM2MSMkMSMkNiMkMTMkMzgxMTkxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNjEjJDEjJDgjJDgz,일이삼한방병원,2,조리사,Y,2,N
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ5MiQyNjEwMDIjNTEjJDEjJDYjJDgz,제대로정형외과마취통증의학과의원,1,영양사,N,0,N
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ5MiQyNjEwMDIjNTEjJDEjJDYjJDgz,제대로정형외과마취통증의학과의원,2,조리사,N,0,N
JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,신태백병원,1,영양사,N,1,N
JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,신태백병원,2,조리사,N,0,N
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQzNjEwMDIjNTEjJDEjJDIjJDgz,의료법인아선의료재단메디케어요양병원,1,영양사,N,0,
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQzNjEwMDIjNTEjJDEjJDIjJDgz,의료법인아선의료재단메디케어요양병원,2,조리사,Y,2,
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,고흥군공립노인전문요양병원,1,영양사,Y,2,N
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,고흥군공립노인전문요양병원,2,조리사,Y,2,N
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ4OSQzNjE0ODEjNTEjJDEjJDYjJDgz,한빛내과의원,1,영양사,N,0,N
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ4OSQzNjE0ODEjNTEjJDEjJDYjJDgz,한빛내과의원,2,조리사,N,0,N
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDAjJDgz,휴플러스유의원,1,영양사,Y,1,
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDAjJDgz,휴플러스유의원,2,조리사,N,0,
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQyIyQ1IyQwMCQzNjEwMDIjNTEjJDEjJDIjJDgz,하정한정형외과의원,1,영양사,N,0,N
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQyIyQ1IyQwMCQzNjEwMDIjNTEjJDEjJDIjJDgz,하정한정형외과의원,2,조리사,N,0,N
JDQ4MTYyMiM2MSMkMSMkNiMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,효사랑전주요양병원,1,영양사,Y,3,4
JDQ4MTYyMiM2MSMkMSMkNiMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,효사랑전주요양병원,2,조리사,Y,4,2
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,강북가톨릭정형외과의원,1,영양사,N,0,N
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,강북가톨릭정형외과의원,2,조리사,N,0,N
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz,청병원,1,영양사,N,1,
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz,청병원,2,조리사,N,1,
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ4MiQyNjEwMDIjNjEjJDEjJDQjJDgz,센트로병원,1,영양사,N,1,N
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ4MiQyNjEwMDIjNjEjJDEjJDQjJDgz,센트로병원,2,조리사,N,1,N
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjODEjJDEjJDYjJDgz,영주시립노인전문요양병원,1,영양사,Y,2,
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjODEjJDEjJDYjJDgz,영주시립노인전문요양병원,2,조리사,Y,5,1
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,김지영산부인과의원,1,영양사,N,0,N
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,김지영산부인과의원,2,조리사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQwMyQyNjEyMjIjNjEjJDEjJDQjJDgz,제일의원,1,영양사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQwMyQyNjEyMjIjNjEjJDEjJDQjJDgz,제일의원,2,조리사,N,0,N
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQwMyQzNjEwMDIjNDEjJDEjJDQjJDgz,녹십자요양병원,1,영양사,N,1,
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQwMyQzNjEwMDIjNDEjJDEjJDQjJDgz,녹십자요양병원,2,조리사,Y,2,
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNjEjJDEjJDgjJDgz,금강의원,1,영양사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNjEjJDEjJDgjJDgz,금강의원,2,조리사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzMxIyQyIyQzIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,수흉부외과의원,1,영양사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzMxIyQyIyQzIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,수흉부외과의원,2,조리사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNjEjJDEjJDAjJDgz,중부정형외과신경외과의원,1,영양사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNjEjJDEjJDAjJDgz,중부정형외과신경외과의원,2,조리사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5MiQyNjE0ODEjODEjJDEjJDYjJDgz,김광석외과의원,1,영양사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5MiQyNjE0ODEjODEjJDEjJDYjJDgz,김광석외과의원,2,조리사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5MiQzNjEwMDIjNDEjJDEjJDQjJDgz,현대정형외과의원,1,영양사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5MiQzNjEwMDIjNDEjJDEjJDQjJDgz,현대정형외과의원,2,조리사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,하나마취통증의학과의원,1,영양사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,하나마취통증의학과의원,2,조리사,N,0,N
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNzEjJDEjJDgjJDgz,대산정형외과의원,1,영양사,N,0,N
